iter	Passed	Remaining
0	504	1007583
1	631	631208
2	767	510760
3	904	451159
4	1021	407383
5	1137	377968
6	1222	348015
7	1307	325553
8	1390	307592
9	1473	293314
10	1591	287717
11	1679	278291
12	1763	269517
13	1846	261876
14	1931	255585
15	2060	255459
16	2143	250072
17	2237	246322
18	2319	241829
19	2416	239277
20	2538	239182
21	2626	236168
22	2719	233736
23	2799	230533
24	2883	227826
25	3005	228187
26	3091	225903
27	3184	224255
28	3284	223254
29	3372	221488
30	3496	222097
31	3580	220212
32	3671	218816
33	3763	217621
34	3849	216147
35	3968	216521
36	4049	214848
37	4136	213579
38	4226	212509
39	4314	211400
40	4429	211662
41	4515	210508
42	4604	209535
43	4701	208981
44	4787	208002
45	4897	208022
46	4982	207047
47	5062	205880
48	5140	204669
49	5229	203950
50	5346	204325
51	5431	203483
52	5516	202648
53	5593	201584
54	5693	201349
55	5814	201863
56	5892	200878
57	5988	200508
58	6069	199676
59	6144	198658
60	6256	198865
61	6351	198544
62	6442	198084
63	6533	197651
64	6619	197053
65	6740	197505
66	6822	196829
67	6905	196194
68	6994	195750
69	7077	195146
70	7200	195637
71	7275	194833
72	7365	194424
73	7450	193912
74	7531	193300
75	7652	193737
76	7742	193367
77	7828	192912
78	7911	192389
79	7995	191896
80	8115	192260
81	8189	191542
82	8273	191093
83	8355	190595
84	8439	190145
85	8554	190378
86	8633	189840
87	8716	189375
88	8809	189158
89	8894	188751
90	9009	188998
91	9088	188482
92	9177	188196
93	9255	187669
94	9354	187581
95	9474	187914
96	9553	187416
97	9641	187117
98	9729	186826
99	9805	186311
100	9918	186486
101	10005	186187
102	10078	185627
103	10160	185236
104	10237	184754
105	10349	184923
106	10427	184481
107	10511	184140
108	10604	183979
109	10695	183761
110	10819	184119
111	10891	183598
112	10967	183143
113	11073	183206
114	11185	183342
115	11359	184487
116	11455	184370
117	11596	184951
118	11703	184999
119	11809	185016
120	11978	186019
121	12098	186240
122	12217	186434
123	12335	186618
124	12439	186591
125	12590	187262
126	12727	187701
127	12824	187564
128	12956	187914
129	13065	187945
130	13227	188713
131	13345	188865
132	13472	189116
133	13597	189357
134	13732	189717
135	13918	190761
136	14019	190638
137	14130	190661
138	14230	190522
139	14326	190339
140	14516	191392
141	14633	191474
142	14728	191269
143	14810	190889
144	14892	190518
145	15016	190692
146	15096	190300
147	15178	189941
148	15252	189473
149	15337	189167
150	15452	189219
151	15529	188803
152	15602	188351
153	15688	188052
154	15780	187839
155	15901	187966
156	15978	187565
157	16046	187068
158	16126	186717
159	16210	186415
160	16325	186477
161	16398	186054
162	16475	185681
163	16567	185473
164	16653	185208
165	16786	185462
166	16862	185080
167	16941	184745
168	17036	184575
169	17119	184290
170	17238	184386
171	17309	183962
172	17396	183715
173	17491	183558
174	17569	183227
175	17672	183149
176	17760	182927
177	17842	182631
178	17926	182373
179	17996	181968
180	18107	181973
181	18198	181781
182	18297	181673
183	18381	181417
184	18462	181135
185	18564	181053
186	18649	180811
187	18754	180759
188	18838	180510
189	18904	180091
190	19006	180014
191	19069	179575
192	19148	179284
193	19224	178965
194	19305	178696
195	19422	178763
196	19490	178384
197	19575	178158
198	19643	177780
199	19729	177563
200	19856	177720
201	19937	177461
202	20018	177208
203	20096	176927
204	20172	176631
205	20288	176687
206	20373	176467
207	20463	176299
208	20540	176017
209	20618	175746
210	20732	175780
211	20820	175597
212	20892	175281
213	20971	175026
214	21053	174796
215	21162	174787
216	21228	174425
217	21306	174161
218	21392	173970
219	21474	173745
220	21590	173800
221	21694	173753
222	21799	173709
223	21868	173386
224	21938	173072
225	22063	173190
226	22134	172879
227	22205	172579
228	22297	172438
229	22378	172214
230	22485	172192
231	22562	171939
232	22638	171684
233	22700	171323
234	22803	171268
235	22919	171312
236	22986	170994
237	23074	170829
238	23155	170610
239	23248	170490
240	23369	170566
241	23438	170265
242	23517	170043
243	23594	169801
244	23680	169632
245	23797	169680
246	23877	169460
247	23944	169153
248	24020	168912
249	24100	168705
250	24214	168732
251	24298	168545
252	24389	168411
253	24475	168241
254	24566	168112
255	24733	168495
256	24849	168530
257	24947	168442
258	25032	168267
259	25147	168291
260	25321	168712
261	25446	168801
262	25570	168884
263	25683	168888
264	25809	168981
265	25999	169485
266	26110	169473
267	26216	169429
268	26343	169517
269	26471	169612
270	26660	170092
271	26762	170020
272	26884	170070
273	26971	169898
274	27085	169902
275	27266	170319
276	27370	170252
277	27466	170136
278	27590	170187
279	27701	170166
280	27876	170534
281	27978	170451
282	28097	170474
283	28204	170419
284	28286	170212
285	28401	170211
286	28479	169981
287	28568	169822
288	28649	169619
289	28738	169457
290	28871	169556
291	28960	169397
292	29036	169167
293	29122	168991
294	29201	168775
295	29310	168734
296	29384	168491
297	29472	168330
298	29557	168150
299	29633	167924
300	29755	167953
301	29828	167713
302	29906	167493
303	29996	167348
304	30075	167140
305	30187	167113
306	30265	166901
307	30361	166789
308	30441	166588
309	30522	166397
310	30649	166451
311	30716	166183
312	30796	165984
313	30870	165755
314	30948	165547
315	31063	165540
316	31126	165252
317	31210	165083
318	31290	164886
319	31371	164699
320	31479	164655
321	31550	164414
322	31629	164218
323	31707	164019
324	31788	163835
325	31921	163914
326	32021	163826
327	32092	163591
328	32177	163429
329	32255	163232
330	32369	163218
331	32436	162963
332	32515	162771
333	32593	162576
334	32662	162335
335	32777	162326
336	32871	162210
337	32948	162014
338	33037	161873
339	33117	161692
340	33237	161701
341	33316	161518
342	33398	161345
343	33469	161122
344	33567	161026
345	33672	160965
346	33754	160793
347	33833	160613
348	33934	160533
349	34010	160334
350	34136	160371
351	34211	160172
352	34306	160065
353	34384	159877
354	34464	159701
355	34578	159684
356	34670	159559
357	34760	159433
358	34837	159242
359	34925	159103
360	35044	159108
361	35119	158912
362	35212	158797
363	35291	158616
364	35380	158485
365	35494	158462
366	35567	158260
367	35653	158115
368	35724	157903
369	35803	157728
370	35931	157770
371	36004	157569
372	36091	157427
373	36169	157249
374	36253	157099
375	36367	157078
376	36434	156853
377	36514	156685
378	36586	156481
379	36686	156401
380	36791	156339
381	36869	156163
382	36965	156066
383	37032	155845
384	37105	155649
385	37219	155628
386	37290	155426
387	37376	155287
388	37460	155138
389	37538	154967
390	37653	154948
391	37720	154729
392	37797	154557
393	37883	154417
394	37976	154308
395	38089	154279
396	38173	154135
397	38284	154100
398	38387	154032
399	38472	153890
400	38615	153980
401	38726	153941
402	38839	153911
403	38963	153925
404	39091	153954
405	39280	154219
406	39395	154195
407	39498	154119
408	39602	154053
409	39709	153996
410	39870	154146
411	39974	154076
412	40071	153979
413	40161	153854
414	40288	153871
415	40464	154075
416	40580	154048
417	40692	154007
418	40810	153988
419	40912	153909
420	41118	154218
421	41237	154200
422	41337	154111
423	41460	154108
424	41566	154039
425	41737	154213
426	41859	154204
427	41956	154102
428	42052	153997
429	42132	153833
430	42268	153871
431	42354	153729
432	42430	153552
433	42498	153347
434	42579	153187
435	42701	153175
436	42774	152988
437	42859	152845
438	42936	152673
439	42999	152452
440	43112	152407
441	43178	152197
442	43257	152035
443	43344	151901
444	43422	151735
445	43528	151665
446	43599	151477
447	43678	151316
448	43761	151166
449	43848	151034
450	43966	151007
451	44045	150846
452	44132	150711
453	44201	150517
454	44280	150360
455	44399	150333
456	44480	150180
457	44557	150017
458	44634	149851
459	44704	149662
460	44812	149602
461	44885	149422
462	44961	149255
463	45032	149074
464	45128	148972
465	45237	148916
466	45311	148742
467	45413	148661
468	45491	148503
469	45561	148316
470	45662	148234
471	45739	148071
472	45807	147881
473	45879	147706
474	45964	147570
475	46073	147511
476	46168	147409
477	46258	147290
478	46340	147146
479	46435	147045
480	46550	147006
481	46630	146857
482	46704	146689
483	46785	146543
484	46858	146372
485	46976	146341
486	47050	146174
487	47143	146068
488	47224	145922
489	47308	145788
490	47436	145787
491	47524	145663
492	47610	145536
493	47697	145408
494	47767	145231
495	47883	145193
496	47947	144999
497	48028	144856
498	48106	144705
499	48211	144634
500	48316	144565
501	48381	144373
502	48463	144233
503	48529	144047
504	48632	143970
505	48747	143929
506	48827	143784
507	48918	143675
508	48981	143479
509	49060	143333
510	49195	143349
511	49274	143203
512	49359	143075
513	49449	142961
514	49527	142812
515	49626	142723
516	49710	142592
517	49789	142446
518	49863	142288
519	49938	142132
520	50035	142038
521	50096	141842
522	50183	141721
523	50249	141541
524	50332	141410
525	50457	141397
526	50533	141245
527	50616	141112
528	50699	140979
529	50780	140844
530	50904	140826
531	50977	140667
532	51057	140529
533	51142	140402
534	51242	140316
535	51349	140254
536	51422	140095
537	51507	139970
538	51594	139849
539	51667	139692
540	51785	139658
541	51860	139505
542	51949	139394
543	52063	139347
544	52189	139330
545	52371	139466
546	52500	139457
547	52619	139422
548	52733	139373
549	52861	139361
550	53045	139498
551	53153	139430
552	53276	139404
553	53355	139263
554	53449	139161
555	53623	139266
556	53716	139161
557	53836	139125
558	53959	139098
559	54067	139030
560	54280	139232
561	54392	139176
562	54500	139107
563	54606	139032
564	54682	138883
565	54909	139115
566	55005	139018
567	55104	138924
568	55203	138833
569	55332	138817
570	55491	138874
571	55573	138739
572	55663	138623
573	55731	138455
574	55800	138287
575	55906	138213
576	56007	138124
577	56090	137995
578	56154	137816
579	56236	137682
580	56363	137657
581	56434	137499
582	56515	137363
583	56601	137240
584	56687	137116
585	56805	137069
586	56872	136901
587	56945	136747
588	57028	136616
589	57107	136477
590	57221	136420
591	57302	136287
592	57369	136120
593	57444	135971
594	57517	135819
595	57622	135741
596	57700	135601
597	57780	135466
598	57852	135310
599	57929	135167
600	58037	135099
601	58115	134958
602	58194	134822
603	58299	134745
604	58380	134613
605	58490	134547
606	58565	134400
607	58659	134300
608	58741	134170
609	58815	134022
610	58935	133978
611	59006	133825
612	59068	133650
613	59142	133504
614	59222	133370
615	59338	133318
616	59415	133178
617	59489	133032
618	59567	132895
619	59640	132747
620	59740	132660
621	59813	132512
622	59897	132389
623	59981	132267
624	60055	132121
625	60167	132060
626	60239	131912
627	60324	131791
628	60423	131701
629	60508	131582
630	60627	131536
631	60716	131424
632	60796	131293
633	60868	131144
634	60944	131007
635	61052	130936
636	61127	130796
637	61206	130662
638	61285	130530
639	61387	130449
640	61496	130380
641	61573	130243
642	61655	130118
643	61746	130013
644	61810	129850
645	61936	129818
646	62024	129704
647	62108	129584
648	62195	129470
649	62283	129357
650	62402	129310
651	62482	129182
652	62566	129060
653	62642	128924
654	62721	128794
655	62837	128741
656	62919	128617
657	62991	128472
658	63075	128352
659	63154	128221
660	63263	128154
661	63344	128028
662	63435	127923
663	63514	127793
664	63597	127674
665	63692	127577
666	63789	127484
667	63873	127363
668	63966	127263
669	64042	127129
670	64155	127068
671	64233	126937
672	64295	126775
673	64365	126629
674	64458	126529
675	64566	126457
676	64638	126318
677	64709	126173
678	64777	126024
679	64868	125921
680	64980	125858
681	65059	125731
682	65136	125599
683	65220	125482
684	65301	125358
685	65425	125318
686	65529	125240
687	65620	125136
688	65705	125021
689	65791	124907
690	65960	124953
691	66041	124829
692	66132	124725
693	66254	124680
694	66379	124640
695	66605	124790
696	66695	124683
697	66815	124633
698	66933	124579
699	67055	124532
700	67215	124555
701	67311	124458
702	67391	124334
703	67484	124233
704	67633	124235
705	67811	124289
706	67923	124222
707	68050	124181
708	68164	124118
709	68280	124059
710	68470	124133
711	68574	124050
712	68711	124028
713	68826	123965
714	68959	123934
715	69132	123974
716	69242	123902
717	69366	123854
718	69440	123718
719	69516	123585
720	69652	123557
721	69745	123455
722	69826	123331
723	69895	123186
724	69966	123044
725	70080	122979
726	70163	122858
727	70246	122739
728	70322	122606
729	70409	122493
730	70531	122440
731	70609	122312
732	70719	122240
733	70797	122111
734	70894	122015
735	71001	121937
736	71083	121816
737	71165	121694
738	71238	121559
739	71319	121436
740	71440	121381
741	71518	121254
742	71595	121125
743	71702	121046
744	71773	120907
745	71888	120842
746	71957	120699
747	72035	120572
748	72113	120446
749	72192	120320
750	72318	120274
751	72394	120144
752	72463	120002
753	72549	119889
754	72634	119775
755	72763	119732
756	72841	119606
757	72921	119483
758	73006	119369
759	73094	119259
760	73206	119189
761	73283	119062
762	73345	118909
763	73423	118785
764	73503	118662
765	73630	118616
766	73701	118479
767	73787	118367
768	73853	118222
769	73942	118115
770	74036	118016
771	74120	117901
772	74212	117799
773	74295	117682
774	74375	117561
775	74468	117461
776	74551	117344
777	74634	117228
778	74706	117094
779	74801	116997
780	74898	116903
781	74976	116778
782	75055	116657
783	75144	116550
784	75225	116431
785	75336	116358
786	75420	116244
787	75495	116117
788	75581	116007
789	75656	115879
790	75767	115806
791	75851	115692
792	75927	115566
793	76002	115440
794	76097	115343
795	76216	115281
796	76295	115160
797	76383	115053
798	76447	114910
799	76523	114784
800	76629	114704
801	76694	114563
802	76765	114430
803	76855	114327
804	76935	114208
805	77047	114136
806	77128	114020
807	77218	113916
808	77292	113789
809	77375	113674
810	77502	113625
811	77580	113504
812	77669	113399
813	77749	113280
814	77825	113157
815	77959	113117
816	78033	112990
817	78116	112877
818	78212	112782
819	78286	112656
820	78399	112586
821	78475	112462
822	78536	112318
823	78612	112195
824	78692	112076
825	78816	112021
826	78903	111915
827	78983	111797
828	79048	111660
829	79120	111530
830	79252	111487
831	79342	111384
832	79446	111301
833	79546	111212
834	79657	111138
835	79821	111139
836	79949	111088
837	80086	111050
838	80166	110933
839	80281	110864
840	80437	110853
841	80571	110810
842	80700	110760
