iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.205331382	0.1644739036	0.04602648546	0.5085455911	0.04033107824
5	0.1988740562	0.2379356345	0.08263909733	0.5639736564	0.05663923231
10	0.1954387387	0.2520551943	0.09677727753	0.5810516425	0.06279230885
15	0.1934728789	0.2564323829	0.1030256795	0.5876746121	0.06534358449
20	0.1921522847	0.2607095214	0.1087457618	0.6016751994	0.06914548544
25	0.1912544588	0.2637735534	0.1141006614	0.6044665215	0.0705962108
30	0.1904906869	0.2662622978	0.1154140959	0.6109657765	0.07284733637
35	0.189931	0.267012673	0.1185043911	0.614104496	0.07374778659
40	0.1893875162	0.2684383859	0.1226204769	0.6163314183	0.07439811175
45	0.1889200814	0.2698891112	0.1241169196	0.6190363395	0.07574878709
50	0.1885536995	0.2712522928	0.1286611361	0.6221299467	0.0765992123
55	0.1882077857	0.2726529932	0.1296880385	0.6255308556	0.07759971255
60	0.187884918	0.2741037185	0.1308208271	0.6286373319	0.0790004129
65	0.1876243584	0.2742162748	0.1320810405	0.6289931194	0.079400613
70	0.1874079074	0.2752668001	0.1344452782	0.6332111105	0.08010096318
75	0.1871888984	0.2758796065	0.1355465233	0.6347594982	0.08065123832
80	0.1869850764	0.2767675504	0.1358131844	0.634465983	0.08110146343
85	0.1867575354	0.2777180257	0.1384553388	0.6360338394	0.08175178859
90	0.1865480963	0.2786434884	0.1403501751	0.6363779869	0.08245213877
95	0.186354384	0.2789436385	0.1419255461	0.6375595301	0.08280231386
100	0.1862259454	0.2795314324	0.1425048635	0.6383572775	0.08310246393
105	0.1860927479	0.2799816575	0.1442269746	0.6401063949	0.08365273907
110	0.1859782676	0.2807445389	0.1458180479	0.6415714599	0.08410296418
115	0.1858205517	0.2813573453	0.1465527208	0.6420020131	0.08485333937
120	0.1856742158	0.2816950142	0.1479364682	0.642847295	0.08535358949
125	0.1855265199	0.2820451893	0.1499125952	0.6435822675	0.08565373957
130	0.1853814004	0.2825454394	0.1505800122	0.6439117251	0.08590386463
135	0.1852138265	0.2826079707	0.1504028403	0.6443117087	0.08590386463
140	0.1850928946	0.2832207771	0.1515738425	0.6453420968	0.08625403972
145	0.1849258729	0.2840211773	0.151809099	0.6447991846	0.08675428984
150	0.1847651525	0.284996665	0.1531479629	0.647678191	0.08745464002
155	0.1846458376	0.2854093714	0.1543435607	0.6477216281	0.08785484012
160	0.1845121251	0.285984659	0.1550429381	0.6492037084	0.08820501521
165	0.1843999909	0.286084709	0.1555912679	0.6516365038	0.08880531536
170	0.1842719642	0.2863598466	0.1562937024	0.6506687761	0.08875529034
175	0.1841249823	0.2869476405	0.1574344117	0.6515838857	0.08945564052
180	0.1839965174	0.2873978656	0.1577534601	0.6529447934	0.08995589064
185	0.1838659168	0.2878230782	0.1589904675	0.6540534917	0.09010596568
190	0.1837628194	0.2886359847	0.159085515	0.655877221	0.09065624082
195	0.1836660349	0.2885359346	0.1601207548	0.653717429	0.09025604072
200	0.183575757	0.2889736535	0.1602606859	0.6566939172	0.09095639089
205	0.183477679	0.2894989161	0.1617264188	0.6567860087	0.09115649094
210	0.1833727222	0.2895739536	0.1627219165	0.6573547063	0.09155669104
215	0.183284777	0.2897990662	0.1631959035	0.6582023785	0.09165674107
220	0.1831901971	0.2900992163	0.1642668557	0.6586329509	0.09175679109
225	0.1831123303	0.2904493914	0.1637413151	0.659905761	0.09220701621
230	0.183005803	0.2907745539	0.1646357901	0.6603839943	0.09255719129
235	0.1829113838	0.2910621978	0.1651629982	0.6602569953	0.09275729134
240	0.1827927111	0.2915749541	0.1657025735	0.6611879372	0.09300741641
245	0.1827105287	0.292012673	0.1658808571	0.6620947578	0.09335759149
250	0.1826111762	0.2922002668	0.165437302	0.6636071517	0.09380781661
255	0.1825137242	0.2922627981	0.166732255	0.6631356858	0.09390786663
260	0.1824015633	0.2926004669	0.1671313434	0.6636180338	0.09400791666
265	0.1823164866	0.2930631983	0.1683251348	0.665504926	0.09460821681
270	0.1822263659	0.2935884609	0.1689223779	0.6668003245	0.09500841691
275	0.1821193061	0.293938636	0.1690898227	0.6665418009	0.09510846693
280	0.1819990193	0.2940136735	0.1692360069	0.6674182617	0.09525854197
