iter	Passed	Remaining
0	93	186047
1	127	127702
2	157	105090
3	188	94013
4	218	87157
5	307	102291
6	340	96858
7	374	93296
8	408	90449
9	444	88359
10	542	98006
11	574	95142
12	607	92805
13	640	90848
14	676	89463
15	763	94665
16	793	92617
17	816	89881
18	831	86694
19	866	85752
20	949	89525
21	973	87494
22	993	85359
23	1015	83584
24	1049	82889
25	1136	86302
26	1157	84609
27	1176	82871
28	1194	81187
29	1220	80176
30	1321	83957
31	1355	83333
32	1389	82820
33	1422	82229
34	1454	81632
35	1544	84274
36	1579	83823
37	1613	83303
38	1646	82767
39	1665	81593
40	1726	82490
41	1746	81438
42	1764	80312
43	1781	79196
44	1806	78473
45	1896	80554
46	1910	79387
47	1927	78374
48	1954	77838
49	1985	77416
50	2077	79388
51	2106	78911
52	2137	78521
53	2168	78146
54	2201	77859
55	2298	79775
56	2325	79256
57	2353	78816
58	2375	78156
59	2390	77292
60	2479	78820
61	2506	78339
62	2531	77843
63	2551	77172
64	2568	76450
65	2660	77973
66	2692	77693
67	2728	77535
68	2761	77290
69	2790	76940
70	2869	77956
71	2894	77495
72	2921	77123
73	2959	77019
74	2992	76803
75	3083	78057
76	3111	77701
77	3144	77471
78	3178	77283
79	3205	76943
80	3248	76953
81	3259	76250
82	3270	75532
83	3280	74823
84	3290	74139
85	3335	74244
86	3346	73583
87	3356	72932
88	3373	72439
89	3385	71855
90	3428	71913
91	3437	71296
92	3448	70708
93	3458	70121
94	3467	69523
95	3506	69536
96	3514	68953
97	3521	68348
98	3529	67766
99	3537	67212
100	3577	67272
101	3585	66721
102	3593	66183
103	3613	65867
104	3620	65344
105	3662	65436
106	3669	64927
107	3677	64419
108	3685	63937
109	3692	63447
110	3747	63780
111	3755	63310
112	3763	62849
113	3772	62407
114	3780	61962
115	3822	62084
116	3830	61650
117	3839	61233
118	3849	60841
119	3856	60419
120	3894	60470
121	3901	60059
122	3909	59662
123	3917	59268
124	3925	58882
125	3965	58974
126	3973	58594
127	3980	58221
128	3988	57847
129	4007	57641
130	4045	57721
131	4053	57369
132	4062	57032
133	4070	56689
134	4077	56336
135	4117	56430
136	4124	56088
137	4132	55765
138	4140	55434
139	4150	55144
140	4188	55219
141	4195	54901
142	4203	54590
143	4211	54284
144	4219	53983
145	4259	54085
146	4265	53774
147	4291	53702
148	4302	53454
149	4313	53201
150	4394	53813
151	4411	53633
152	4420	53361
153	4432	53127
154	4443	52888
155	4505	53252
156	4516	53023
157	4536	52883
158	4544	52614
159	4551	52337
160	4588	52413
161	4596	52147
162	4603	51879
163	4609	51609
164	4616	51342
165	4654	51422
166	4661	51160
167	4668	50911
168	4676	50666
169	4683	50412
170	4721	50496
171	4740	50377
172	4757	50239
173	4763	49993
174	4771	49762
175	4814	49893
176	4821	49656
177	4828	49422
178	4835	49188
179	4841	48957
180	4887	49117
181	4894	48890
182	4901	48668
183	4908	48446
184	4916	48230
185	4958	48355
186	4964	48134
187	4971	47913
188	4977	47698
189	5003	47665
190	5043	47768
191	5050	47557
192	5057	47353
193	5064	47147
194	5071	46944
195	5110	47040
196	5118	46842
197	5126	46655
198	5133	46455
199	5139	46257
200	5178	46352
201	5186	46161
202	5193	45970
203	5199	45775
204	5206	45585
205	5257	45785
206	5263	45594
207	5271	45416
208	5277	45225
209	5284	45046
210	5323	45139
211	5331	44963
212	5343	44827
213	5352	44670
214	5359	44492
215	5397	44580
216	5404	44408
217	5411	44237
218	5418	44066
219	5426	43902
220	5464	43990
221	5471	43824
222	5478	43658
223	5485	43493
224	5492	43328
225	5530	43409
226	5537	43250
227	5544	43087
228	5554	42957
229	5563	42813
230	5600	42888
231	5607	42730
232	5614	42577
233	5622	42436
234	5629	42279
235	5666	42351
236	5674	42214
237	5681	42064
238	5688	41913
239	5695	41763
240	5761	42053
241	5771	41926
242	5777	41774
243	5784	41629
244	5791	41484
245	5833	41595
246	5840	41452
247	5859	41394
248	5866	41254
249	5873	41114
250	5910	41186
251	5932	41148
252	5938	41008
253	5951	40913
254	5959	40779
255	6004	40903
256	6011	40767
257	6018	40635
258	6025	40500
259	6031	40364
260	6069	40437
261	6076	40306
262	6082	40175
263	6090	40046
264	6096	39913
265	6135	39997
266	6142	39868
267	6148	39739
268	6155	39611
269	6162	39487
270	6203	39577
271	6210	39454
272	6217	39333
273	6224	39211
274	6231	39087
275	6278	39217
276	6286	39101
277	6292	38977
278	6299	38861
279	6307	38743
280	6346	38825
281	6352	38703
282	6360	38587
283	6366	38467
284	6372	38348
285	6411	38422
286	6418	38310
287	6425	38193
288	6431	38076
289	6437	37960
290	6475	38030
291	6482	37918
292	6488	37804
293	6495	37694
294	6502	37582
295	6540	37652
296	6547	37545
297	6554	37438
298	6562	37331
299	6569	37224
300	6606	37292
301	6613	37182
302	6620	37076
303	6627	36971
304	6633	36865
305	6671	36932
306	6678	36827
307	6684	36720
308	6691	36617
309	6698	36514
310	6759	36707
311	6774	36650
312	6780	36546
313	6786	36441
314	6793	36339
315	6833	36416
316	6842	36327
317	6849	36227
318	6856	36128
319	6862	36027
320	6901	36095
321	6908	36000
322	6914	35901
323	6921	35802
324	6927	35702
325	6964	35763
326	6991	35768
327	6998	35673
328	7005	35582
329	7012	35489
330	7050	35551
331	7057	35459
332	7063	35362
333	7071	35271
334	7078	35179
335	7122	35271
336	7129	35182
337	7136	35090
338	7143	35000
339	7150	34910
340	7191	34989
341	7198	34900
342	7205	34809
343	7212	34720
344	7219	34631
345	7260	34709
346	7267	34622
347	7275	34535
348	7282	34449
349	7288	34362
350	7329	34432
351	7336	34346
352	7342	34258
353	7348	34170
354	7355	34085
355	7395	34152
356	7402	34069
357	7409	33985
358	7416	33900
359	7423	33816
360	7460	33873
361	7467	33787
362	7473	33704
363	7480	33622
364	7487	33539
365	7524	33594
366	7532	33515
367	7539	33435
368	7545	33352
369	7552	33271
370	7591	33333
371	7598	33252
372	7605	33173
373	7612	33094
374	7618	33015
375	7658	33076
376	7665	33000
377	7672	32923
378	7681	32854
379	7688	32776
380	7727	32836
381	7736	32769
382	7743	32691
383	7755	32638
384	7764	32570
385	7810	32658
386	7817	32583
387	7823	32504
388	7830	32428
389	7837	32352
390	7874	32405
391	7881	32330
392	7888	32254
393	7894	32179
394	7901	32106
395	7937	32151
396	7943	32075
397	7950	32001
398	7976	32007
399	7985	31942
400	8023	31992
401	8029	31919
402	8036	31847
403	8043	31774
404	8050	31703
405	8088	31757
406	8095	31685
407	8101	31613
408	8108	31540
409	8114	31467
410	8152	31518
411	8158	31447
412	8165	31377
413	8172	31306
414	8178	31237
415	8217	31290
416	8223	31219
417	8234	31164
418	8240	31093
419	8247	31025
420	8286	31078
421	8293	31012
422	8302	30953
423	8309	30885
424	8316	30818
425	8354	30869
426	8361	30800
427	8367	30733
428	8374	30665
429	8380	30598
430	8419	30649
431	8426	30585
432	8433	30519
433	8439	30452
434	8446	30387
435	8483	30432
436	8490	30366
437	8496	30301
438	8503	30236
439	8510	30172
440	8548	30218
441	8555	30155
442	8563	30097
443	8570	30034
444	8576	29970
445	8615	30020
446	8623	29958
447	8629	29895
448	8636	29832
449	8643	29771
450	8680	29815
451	8687	29753
452	8695	29693
453	8701	29632
454	8708	29570
455	8747	29619
456	8759	29576
457	8779	29559
458	8786	29500
459	8793	29439
460	8831	29482
461	8838	29421
462	8845	29363
463	8852	29305
464	8859	29245
465	8896	29286
466	8903	29228
467	8910	29168
468	8917	29110
469	8928	29064
470	8991	29189
471	8998	29131
472	9004	29070
473	9011	29011
474	9018	28954
475	9059	29005
476	9066	28946
477	9072	28889
478	9079	28831
479	9085	28771
480	9123	28811
481	9130	28754
482	9137	28697
483	9143	28640
484	9150	28584
485	9191	28633
486	9198	28576
487	9204	28519
488	9215	28475
489	9222	28419
490	9259	28456
491	9267	28403
492	9281	28371
493	9288	28316
494	9295	28261
495	9336	28310
496	9343	28255
497	9350	28200
498	9356	28144
499	9363	28090
500	9402	28132
501	9409	28077
502	9416	28023
503	9422	27968
504	9429	27914
505	9466	27951
506	9473	27897
507	9480	27843
508	9486	27789
509	9493	27736
510	9531	27772
511	9537	27719
512	9545	27668
513	9552	27615
514	9558	27562
515	9596	27598
516	9603	27546
517	9609	27493
518	9616	27441
519	9623	27389
