iter	Passed	Remaining
0	92	185869
1	134	134846
2	160	106919
3	178	88982
4	206	82582
5	270	90042
6	294	83829
7	315	78551
8	346	76637
9	384	76460
10	483	87439
11	516	85540
12	551	84307
13	583	82734
14	609	80595
15	652	80861
16	662	77289
17	672	74058
18	683	71303
19	694	68745
20	737	69493
21	750	67470
22	760	65389
23	771	63483
24	781	61739
25	822	62457
26	832	60802
27	840	59214
28	849	57728
29	857	56329
30	898	57063
31	907	55786
32	915	54591
33	924	53473
34	933	52416
35	973	53093
36	981	52088
37	991	51213
38	1001	50350
39	1009	49470
40	1047	50041
41	1054	49171
42	1061	48333
43	1069	47562
44	1077	46801
45	1117	47469
46	1125	46758
47	1132	46055
48	1140	45400
49	1147	44765
50	1186	45344
51	1194	44737
52	1201	44140
53	1208	43563
54	1225	43331
55	1269	44054
56	1275	43494
57	1282	42955
58	1290	42442
59	1297	41947
60	1336	42483
61	1344	42017
62	1351	41557
63	1358	41092
64	1366	40666
65	1412	41385
66	1419	40956
67	1427	40544
68	1433	40114
69	1440	39711
70	1481	40243
71	1488	39853
72	1495	39472
73	1502	39095
74	1509	38748
75	1550	39263
76	1558	38920
77	1566	38594
78	1574	38281
79	1580	37935
80	1621	38408
81	1628	38084
82	1635	37770
83	1642	37459
84	1648	37138
85	1691	37646
86	1698	37350
87	1705	37047
88	1712	36766
89	1719	36494
90	1759	36900
91	1765	36620
92	1772	36345
93	1779	36074
94	1785	35804
95	1822	36151
96	1831	35929
97	1838	35675
98	1845	35429
99	1852	35193
100	1889	35527
101	1896	35284
102	1903	35058
103	1909	34817
104	1916	34588
105	1953	34902
106	1960	34676
107	1967	34464
108	1973	34240
109	1980	34021
110	2017	34326
111	2023	34115
112	2029	33899
113	2036	33696
114	2042	33485
115	2080	33794
116	2089	33629
117	2096	33432
118	2102	33237
119	2109	33045
120	2147	33345
121	2153	33154
122	2160	32969
123	2167	32787
124	2174	32616
125	2211	32892
126	2223	32796
127	2241	32781
128	2248	32614
129	2255	32437
130	2293	32723
131	2299	32546
132	2306	32374
133	2312	32203
134	2321	32066
135	2358	32328
136	2384	32428
137	2391	32263
138	2398	32107
