iter	Passed	Remaining
0	102	204294
1	163	163247
2	209	139781
3	256	128130
4	303	121050
5	378	125762
6	412	117505
7	447	111489
8	484	107231
9	522	104063
10	590	106773
11	624	103446
12	659	100780
13	695	98645
14	734	97190
15	800	99311
16	844	98483
17	883	97248
18	918	95755
19	957	94750
20	1024	96530
21	1058	95149
22	1093	93969
23	1128	92944
24	1165	92094
25	1232	93609
26	1266	92564
27	1302	91732
28	1338	90959
29	1373	90201
30	1442	91626
31	1477	90878
32	1514	90244
33	1552	89750
34	1591	89339
35	1664	90816
36	1700	90214
37	1738	89741
38	1774	89217
39	1811	88780
40	1900	90789
41	1933	90139
42	1968	89610
43	2009	89321
44	2046	88893
45	2114	89814
46	2150	89354
47	2195	89296
48	2230	88812
49	2265	88370
50	2341	89476
51	2377	89058
52	2412	88623
53	2452	88386
54	2492	88145
55	2564	89029
56	2600	88648
57	2637	88323
58	2677	88090
59	2716	87833
60	2788	88648
61	2824	88292
62	2872	88317
63	2913	88134
64	2948	87785
65	3025	88669
66	3060	88301
67	3103	88173
68	3142	87940
69	3181	87711
70	3271	88890
71	3305	88521
72	3344	88294
73	3384	88092
74	3420	87781
75	3490	88367
76	3528	88118
77	3569	87961
78	3605	87663
79	3642	87427
80	3712	87963
81	3749	87704
82	3786	87445
83	3826	87274
84	3872	87256
85	3952	87964
86	3988	87694
87	4023	87424
88	4062	87227
89	4102	87068
90	4176	87611
91	4212	87358
92	4250	87155
93	4292	87031
94	4330	86833
95	4400	87282
96	4436	87042
97	4473	86822
98	4509	86582
99	4548	86413
100	4619	86848
101	4653	86591
102	4688	86351
103	4726	86160
104	4764	85980
105	4833	86367
106	4872	86194
107	4929	86359
108	4984	86474
109	5030	86432
110	5138	87452
111	5193	87542
112	5244	87576
113	5304	87756
114	5365	87946
115	5480	89016
116	5540	89170
117	5602	89356
118	5655	89399
119	5718	89589
120	5835	90617
121	5886	90615
122	5952	90831
123	6012	90960
124	6074	91110
125	6197	92169
126	6261	92349
127	6311	92304
128	6357	92212
129	6402	92092
130	6516	92965
131	6568	92955
132	6630	93081
133	6690	93164
134	6754	93310
135	6874	94218
136	6936	94330
137	7004	94503
138	7061	94546
139	7103	94372
140	7202	94963
141	7262	95021
142	7323	95102
143	7382	95156
144	7443	95226
145	7561	96017
146	7619	96048
147	7681	96120
148	7726	95979
149	7791	96094
150	7919	96972
151	7980	97027
152	8048	97162
153	8102	97130
154	8145	96960
155	8244	97448
156	8307	97521
157	8369	97574
158	8436	97687
159	8505	97815
160	8600	98234
161	8635	97970
162	8671	97731
163	8710	97515
164	8747	97278
165	8816	97403
166	8849	97127
167	8893	96980
168	8932	96772
169	8970	96564
170	9037	96662
171	9073	96433
172	9112	96239
173	9150	96026
174	9187	95808
175	9256	95934
176	9293	95719
177	9329	95492
178	9367	95297
179	9407	95116
180	9476	95237
181	9512	95023
182	9550	94825
183	9586	94617
184	9624	94425
185	9693	94538
186	9729	94326
187	9765	94124
188	9800	93913
189	9840	93742
190	9922	93978
191	9962	93817
192	9999	93622
193	10043	93498
194	10080	93309
195	10154	93461
196	10186	93229
197	10224	93054
198	10259	92847
199	10296	92671
200	10362	92749
201	10398	92561
202	10434	92366
203	10477	92242
204	10515	92073
205	10589	92217
206	10625	92038
207	10665	91886
208	10701	91707
209	10736	91513
210	10805	91615
211	10841	91437
212	10874	91232
213	10911	91066
214	10948	90893
215	11015	90980
216	11049	90786
217	11083	90601
218	11135	90557
219	11172	90392
220	11242	90501
221	11277	90324
222	11312	90146
223	11350	89994
224	11385	89820
225	11457	89938
226	11498	89813
227	11533	89638
228	11569	89477
229	11608	89336
230	11676	89420
231	11710	89242
232	11746	89082
233	11787	88957
234	11822	88793
235	11894	88902
236	11946	88864
237	11981	88705
238	12020	88569
239	12056	88415
240	12135	88576
241	12181	88492
242	12216	88333
243	12255	88199
244	12294	88069
245	12364	88163
246	12400	88011
247	12450	87958
