iter	PairLogit	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.6909564056	0.1632107721	0.04049635929	0.5049319526	0.04038110325
5	0.6813475991	0.2370101718	0.07068839976	0.5539847704	0.0529874064
10	0.6735478864	0.243988661	0.075664221	0.5591903372	0.05573878209
15	0.6673884448	0.2444263799	0.07784822967	0.564005834	0.05608895718
20	0.6625557236	0.2492788061	0.0823040687	0.568768145	0.05839010775
25	0.6583894617	0.2501792563	0.08438038464	0.5677768666	0.05849015778
30	0.6549463726	0.2510421878	0.08548774387	0.5706512618	0.059390608
35	0.6519962712	0.2531682508	0.08565282641	0.5734015718	0.06039110825
40	0.6495398548	0.2538435885	0.08622616864	0.5755096623	0.06079130835
45	0.6471924877	0.2562823078	0.08975376577	0.5806265826	0.06214198369
50	0.6451014154	0.2574704019	0.08987618809	0.5825690392	0.06309245893
55	0.6433509718	0.2585834584	0.09090892669	0.5846300482	0.06414298419
60	0.6417272423	0.2596715024	0.09045481074	0.5869643864	0.06469325933
65	0.6402222079	0.2602968151	0.09242579623	0.587668021	0.06519350945
70	0.638844701	0.2615474404	0.09386943472	0.5905138305	0.0661940097
75	0.6376822323	0.2622227781	0.09535073092	0.5920875079	0.06654418479
80	0.6364346548	0.2634483909	0.09715371575	0.5949828075	0.0677948101
85	0.6352961653	0.2641362348	0.09767828359	0.5962329465	0.06809496018
90	0.6343975841	0.2651492413	0.09814365516	0.5981463352	0.06874528534
95	0.6334004131	0.2659871602	0.09910038353	0.6002164063	0.06889536038
100	0.6324919923	0.2665749541	0.1004681507	0.5998674509	0.06924553547
105	0.6314735151	0.2667250292	0.1011104163	0.6010453297	0.06959571055
110	0.6307117587	0.2672627981	0.1019915513	0.6006173784	0.06974578559
115	0.6299689068	0.2673503418	0.1026347896	0.6015979603	0.06989586063
120	0.6293392879	0.267900617	0.1033819688	0.6029626793	0.06999591065
125	0.6286801502	0.2682007671	0.103361264	0.6038898033	0.07034608574
130	0.6279783612	0.2683508421	0.1050714246	0.6044892914	0.07054618579
135	0.6273576909	0.2689511422	0.105263743	0.6055324411	0.07084633587
140	0.626833751	0.2686634984	0.1064983881	0.6041696827	0.07049616078
145	0.6261832133	0.2690636985	0.1065264577	0.6061617682	0.07109646093
150	0.6255797042	0.2697640487	0.1068388361	0.6080682039	0.07154668604
155	0.6250595606	0.2702142738	0.1068480073	0.6076300068	0.07184683612
160	0.6244346678	0.2704769051	0.1074751265	0.607667309	0.07174678609
165	0.6239357918	0.2705519426	0.1080619476	0.6076474027	0.0717968111
170	0.6233255035	0.2707895614	0.1085070313	0.6089544207	0.07209696118
175	0.6227288899	0.2712647991	0.1092537936	0.6105311099	0.07254718629
180	0.6221714798	0.2715149241	0.1094234617	0.611055777	0.07274728634
185	0.6216492444	0.2717775554	0.1095977155	0.6108249835	0.07304743642
190	0.6211690791	0.2721777555	0.1099795731	0.6106379853	0.0729974114
195	0.6206588139	0.2721902618	0.110477183	0.6104549392	0.07284733637
200	0.6203456121	0.2725904619	0.1104995553	0.6103742712	0.07309746143
