iter	Passed	Remaining
0	194	777860
1	246	491804
2	302	402700
3	356	355645
4	415	331984
5	529	352376
6	620	353847
7	697	347892
8	779	345720
9	871	347684
10	1027	372597
11	1120	372228
12	1200	368212
13	1295	368716
14	1401	372240
15	1555	387284
16	1649	386573
17	1735	383959
18	1813	379943
19	1903	378890
20	2021	382979
21	2114	382278
22	2192	379034
23	2281	378017
24	2370	376978
25	2523	385693
26	2602	382951
27	2694	382239
28	2785	381365
29	2875	380523
30	3034	388482
31	3136	388933
32	3230	388399
33	3316	386883
34	3409	386261
35	3567	392800
36	3665	392567
37	3754	391501
38	3835	389552
39	3932	389273
40	4068	392886
41	4109	387252
42	4152	382116
43	4191	376849
44	4228	371615
45	4304	370038
46	4334	364550
47	4362	359189
48	4396	354480
49	4427	349752
50	4496	348171
51	4526	343703
52	4558	339447
53	4588	335335
54	4621	331500
55	4686	330066
56	4715	326216
57	4746	322615
58	4790	319969
59	4822	316648
60	4893	315979
61	4921	312613
62	4951	309457
63	4998	307430
64	5028	304443
65	5091	303456
66	5119	300522
67	5151	297878
68	5182	295268
69	5213	292693
70	5289	292733
71	5319	290190
72	5350	287850
73	5384	285666
74	5414	283378
75	5479	282907
76	5510	280772
77	5541	278624
78	5570	276495
79	5600	274443
80	5673	274478
81	5702	272453
82	5732	270530
83	5762	268644
84	5793	266827
85	5856	266557
86	5886	264761
87	5916	262996
88	5946	261293
89	5976	259661
90	6058	260256
91	6089	258667
92	6118	257049
93	6148	255507
94	6179	254001
95	6242	253842
96	6280	252714
97	6310	251243
98	6341	249863
99	6371	248504
100	6436	248468
101	6466	247116
102	6509	246275
103	6538	244939
104	6571	243776
105	6634	243716
106	6663	242433
107	6692	241182
108	6723	240015
109	6754	238860
110	6817	238860
111	6847	237711
112	6876	236555
113	6910	235550
114	6941	234488
115	7009	234708
116	7051	234039
117	7080	232945
118	7112	231973
119	7142	230952
120	7205	230994
121	7235	229979
122	7277	229397
123	7309	228494
124	7340	227555
125	7406	227711
126	7435	226740
127	7464	225815
128	7495	224935
129	7527	224079
130	7594	224290
131	7623	223387
132	7652	222499
133	7683	221661
134	7713	220821
135	7779	221023
136	7811	220255
137	7842	219467
138	7872	218675
139	7902	217880
140	7967	218047
141	7996	217257
142	8038	216820
143	8080	216381
144	8111	215660
145	8172	215730
146	8202	214992
147	8232	214279
148	8263	213575
149	8308	213254
150	8372	213408
151	8403	212741
152	8437	212152
153	8467	211466
154	8498	210810
155	8560	210943
156	8590	210273
157	8620	209626
158	8651	209001
159	8683	208404
160	8747	208569
161	8776	207936
162	8806	207305
163	8837	206705
164	8868	206135
165	8933	206332
166	8963	205736
167	8995	205178
168	9026	204614
169	9074	204451
170	9139	204642
171	9168	204044
172	9198	203490
173	9233	203020
174	9263	202472
175	9344	203023
176	9375	202500
177	9404	201941
178	9436	201442
179	9467	200926
180	9532	201125
181	9561	200571
182	9591	200056
183	9623	199577
184	9653	199074
185	9719	199293
186	9749	198791
187	9780	198306
188	9810	197820
189	9841	197339
190	9907	197586
191	9939	197124
192	9969	196650
193	10000	196202
194	10031	195737
195	10120	196429
196	10149	195940
197	10178	195454
198	10210	195029
199	10242	194600
200	10323	195110
201	10355	194707
202	10385	194246
203	10416	193824
204	10447	193400
205	10511	193596
206	10540	193144
207	10570	192707
208	10600	192279
209	10631	191875
210	10698	192124
211	10744	191979
212	10797	191975
213	10829	191596
214	10859	191179
215	10925	191397
216	10955	190985
217	10985	190581
218	11016	190201
219	11047	189814
220	11133	190381
221	11163	189978
222	11193	189583
223	11225	189222
224	11255	188850
225	11342	189407
226	11374	189064
227	11404	188680
228	11435	188315
229	11467	187965
230	11531	188140
231	11560	187761
232	11590	187384
233	11620	187019
234	11651	186671
235	11715	186858
236	11745	186484
237	11775	186132
238	11806	185786
239	11838	185462
240	11901	185635
241	11931	185278
242	11961	184934
243	11993	184622
244	12027	184339
245	12094	184560
246	12123	184209
247	12171	184148
248	12203	183834
249	12234	183513
250	12303	183771
251	12343	183584
252	12372	183245
253	12403	182930
254	12434	182613
255	12501	182833
256	12530	182501
257	12561	182185
258	12591	181870
259	12622	181576
260	12686	181743
261	12717	181448
262	12748	181140
263	12778	180835
264	12809	180544
265	12875	180735
266	12906	180446
267	12935	180136
268	12965	179833
269	12997	179559
270	13063	179755
271	13092	179450
272	13122	179148
273	13158	178931
274	13201	178817
275	13277	179153
276	13324	179093
277	13354	178798
278	13390	178589
279	13420	178305
280	13486	178492
281	13516	178209
282	13546	177925
283	13576	177647
284	13608	177382
285	13674	177582
286	13704	177297
287	13734	177017
288	13766	176779
289	13799	176542
290	13865	176729
291	13896	176461
292	13927	176209
293	13967	176068
294	14003	175877
295	14126	176776
296	14193	176961
297	14243	176942
298	14286	176838
299	14369	177221
300	14502	178217
301	14558	178263
302	14621	178399
303	14701	178742
304	14776	179011
305	14934	180284
306	15014	180610
307	15090	180884
308	15159	181084
309	15231	181308
310	15388	182528
311	15460	182751
312	15533	182982
313	15595	183071
314	15680	183434
315	15790	184093
316	15876	184461
317	15969	184903
318	16050	185204
319	16123	185423
320	16275	186534
321	16377	187064
322	16429	187035
323	16480	186983
324	16556	187220
325	16698	188190
326	16778	188468
327	16856	188714
328	16931	188927
329	17012	189197
330	17143	190029
331	17229	190351
332	17295	190454
333	17377	190731
334	17417	190550
335	17531	191172
336	17598	191281
337	17673	191475
338	17754	191739
339	17833	191967
340	17954	192653
341	17986	192383
342	18016	192085
343	18047	191804
344	18080	191550
345	18147	191645
346	18176	191355
347	18207	191071
348	18240	190815
349	18273	190568
350	18378	191061
351	18413	190829
352	18442	190535
353	18473	190261
354	18504	189998
355	18573	190112
356	18602	189826
357	18632	189550
358	18664	189301
359	18699	189074
360	18772	189230
361	18802	188959
362	18832	188691
363	18864	188433
364	18896	188184
365	18961	188270
366	18995	188038
367	19025	187776
368	19057	187524
369	19089	187281
370	19155	187373
371	19184	187104
372	19215	186847
373	19246	186595
374	19276	186339
375	19363	186629
376	19402	186458
377	19440	186275
378	19469	186014
379	19500	185771
380	19566	185854
381	19595	185592
382	19626	185346
383	19658	185115
384	19688	184871
385	19757	184980
386	19786	184724
387	19819	184500
388	19849	184261
389	19879	184015
390	19944	184095
391	19976	183865
392	20007	183628
393	20037	183390
394	20069	183164
395	20135	183252
396	20163	182999
397	20193	182756
398	20223	182521
399	20255	182298
400	20318	182359
401	20369	182315
402	20400	182086
403	20444	181980
404	20474	181739
405	20537	181799
406	20566	181563
407	20597	181338
408	20629	181127
409	20661	180910
410	20724	180973
411	20753	180736
412	20784	180516
413	20814	180291
414	20845	180076
415	20912	180168
416	20942	179949
417	20974	179741
418	21005	179520
419	21036	179313
420	21100	179381
421	21131	179164
422	21161	178946
423	21192	178736
424	21222	178522
425	21286	178585
426	21316	178369
427	21368	178337
428	21400	178138
429	21442	178019
430	21510	178122
431	21539	177903
432	21570	177695
433	21600	177481
434	21632	177285
435	21701	177391
436	21731	177180
437	21763	176986
438	21795	176795
439	21825	176586
440	21888	176646
441	21917	176434
442	21950	176245
443	21980	176044
444	22011	175846
445	22076	175922
446	22106	175715
447	22135	175504
448	22166	175309
449	22198	175121
450	22263	175196
451	22293	174990
452	22324	174801
453	22371	174732
454	22410	174605
455	22479	174712
456	22510	174519
457	22540	174321
458	22572	174135
459	22603	173948
460	22669	174026
461	22700	173840
462	22730	173642
463	22761	173454
464	22791	173264
465	22858	173350
466	22888	173157
467	22917	172957
468	22950	172787
469	22981	172604
470	23048	172692
471	23077	172497
472	23107	172304
473	23139	172128
474	23170	171948
475	23242	172069
476	23271	171873
477	23301	171687
478	23332	171512
479	23366	171355
480	23459	171626
481	23503	171548
482	23533	171357
483	23564	171183
484	23596	171010
485	23659	171072
486	23689	170885
487	23720	170710
488	23752	170543
489	23783	170370
490	23852	170466
491	23883	170293
492	23913	170109
493	23945	169946
494	23976	169769
495	24043	169852
496	24072	169669
497	24101	169487
498	24133	169321
499	24164	169148
500	24228	169215
501	24258	169039
502	24288	168860
503	24318	168682
504	24350	168524
505	24432	168707
506	24462	168534
507	24507	168462
508	24536	168284
509	24568	168122
510	24637	168220
511	24666	168042
512	24698	167884
513	24732	167737
514	24764	167577
515	24829	167647
516	24858	167468
517	24888	167299
518	24919	167137
519	24952	166986
520	25017	167057
521	25048	166891
522	25078	166725
523	25110	166570
524	25140	166409
525	25203	166455
526	25232	166287
527	25262	166120
528	25293	165960
529	25325	165810
530	25392	165885
531	25452	165916
532	25482	165754
533	25526	165681
534	25555	165515
535	25619	165570
536	25650	165411
537	25682	165266
538	25713	165107
539	25749	164986
540	25810	165025
541	25840	164863
542	25869	164697
543	25901	164550
544	25934	164408
545	25998	164467
546	26029	164311
547	26060	164162
548	26091	164013
549	26122	163857
550	26185	163910
551	26215	163751
552	26245	163598
553	26276	163443
554	26307	163294
555	26374	163368
556	26402	163205
557	26457	163200
558	26487	163046
559	26529	162967
560	26602	163074
561	26632	162924
562	26662	162769
563	26692	162618
564	26726	162488
565	26789	162538
566	26820	162392
567	26850	162235
568	26880	162088
569	26912	161947
570	26978	162015
571	27010	161871
572	27040	161726
573	27072	161585
574	27102	161439
575	27166	161489
576	27196	161343
577	27226	161194
578	27257	161051
579	27288	160905
580	27354	160969
581	27383	160821
582	27413	160671
583	27469	160679
584	27499	160531
585	27577	160662
586	27615	160564
587	27644	160413
588	27674	160269
589	27706	160134
590	27773	160204
591	27803	160060
592	27834	159921
593	27895	159952
594	27943	159914
595	28088	160422
596	28160	160520
597	28243	160676
598	28322	160808
599	28398	160927
600	28566	161561
601	28642	161671
602	28729	161849
603	28816	162019
604	28894	162142
605	29034	162614
606	29113	162740
607	29182	162808
608	29255	162897
609	29300	162831
610	29413	163145
611	29526	163455
612	29591	163501
613	29664	163587
614	29746	163726
615	29888	164190
616	29963	164290
617	30046	164429
618	30124	164542
619	30195	164613
620	30350	165141
621	30436	165295
622	30552	165608
623	30649	165819
624	30743	166015
625	30865	166358
626	30960	166553
627	31051	166726
628	31138	166879
629	31225	167033
630	31348	167376
631	31441	167557
632	31556	167853
633	31641	167987
634	31710	168039
635	31781	168100
636	31819	167987
637	31848	167826
638	31880	167684
639	31911	167533
640	31977	167568
641	32007	167414
642	32039	167272
643	32068	167116
644	32099	166969
645	32166	167005
646	32194	166843
647	32227	166705
648	32257	166553
649	32288	166410
650	32355	166448
651	32386	166303
652	32415	166149
653	32448	166015
654	32478	165864
655	32546	165908
656	32598	165867
657	32641	165784
658	32674	165651
659	32703	165501
660	32768	165528
661	32803	165405
662	32834	165261
663	32866	165125
664	32897	164982
665	32965	165026
666	32995	164878
667	33025	164732
668	33057	164597
669	33088	164455
670	33154	164486
671	33184	164340
672	33217	164210
673	33248	164070
674	33278	163929
675	33344	163960
676	33372	163807
677	33402	163662
678	33434	163526
679	33464	163386
680	33530	163417
681	33559	163268
682	33618	163270
683	33659	163177
684	33698	163079
685	33764	163110
686	33796	162978
687	33825	162836
