iter	PairLogit	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.6908623482	0.1903743538	0.04965607804	0.5186894548	0.04223202871
5	0.681266093	0.2258921127	0.06418139625	0.544769847	0.0509864059
10	0.6737071797	0.2405369351	0.07288630426	0.5596292166	0.05548865703
15	0.6675528515	0.2442512923	0.07604552276	0.5614253574	0.05648915728
20	0.6626661287	0.246014674	0.07652076038	0.5640615586	0.0573896075
25	0.6586654357	0.2481782558	0.07745483853	0.5676434162	0.05844013276
30	0.6552989716	0.2501542438	0.08254335501	0.5717395119	0.05984083311
35	0.6523991529	0.2516174754	0.08584014229	0.5720744682	0.06009095818
40	0.6498838926	0.2540436885	0.0886855928	0.580145369	0.06204193367
45	0.6476556855	0.2554193764	0.09117253071	0.5833623959	0.0629924089
50	0.6457098443	0.256194764	0.09166249792	0.5830678194	0.06294238389
55	0.6439031135	0.2577580457	0.0922533489	0.5856005803	0.0637928091
60	0.6423180838	0.2584709021	0.09362431216	0.5870586429	0.0641930092
65	0.6408021251	0.260096715	0.09551094992	0.5899277418	0.06494338439
70	0.6394281822	0.260934634	0.0972152743	0.5931887583	0.06604393467
75	0.6382329794	0.2618475905	0.09822814185	0.5961608973	0.0665942098
80	0.6370415342	0.2623853593	0.09895183703	0.5962585661	0.0665942098
85	0.6359523202	0.2626479907	0.09952087155	0.5961951325	0.06669425983
90	0.6348885962	0.2634859096	0.09932355066	0.5976219462	0.06714448494
95	0.633874264	0.2641112223	0.1010791507	0.5981961682	0.06754468504
100	0.6329396946	0.2647865599	0.1018821911	0.5988064851	0.06774478509
105	0.6321189394	0.2654243789	0.102783753	0.6000473833	0.06809496018
110	0.63120986	0.2661622478	0.1031597743	0.6013440762	0.06854518529
115	0.6304709982	0.2664623979	0.1031732533	0.6015865721	0.06904543542
120	0.6297249697	0.2670001668	0.1044668167	0.6030295756	0.06964573557
125	0.6289085531	0.2675129231	0.1047726641	0.604225359	0.0701960107
130	0.6282265983	0.2682632983	0.1059670113	0.6049940154	0.07054618579
135	0.6274558159	0.2685759546	0.1062600745	0.6053257469	0.0705962108
140	0.6267744422	0.2693013173	0.1072798899	0.6066043929	0.07084633587
145	0.6261406782	0.2695889611	0.107947307	0.6089891802	0.07119651095
150	0.62550029	0.269876605	0.1083928075	0.6096205114	0.07164673607
155	0.62487439	0.2700641988	0.1092071036	0.6097167085	0.07189686113
160	0.6242568188	0.2704894114	0.1103542049	0.6117901182	0.07224703622
165	0.6237471347	0.270864599	0.1113665166	0.6122522216	0.07264723632
170	0.6231985183	0.2714273804	0.1121029959	0.6124657113	0.07294738639
175	0.6226628018	0.2719151242	0.1124622033	0.6116787918	0.0729974114
180	0.6220946611	0.2723028181	0.1129022845	0.613885273	0.07354768654
185	0.6215831175	0.2726529932	0.1130098383	0.6146606607	0.07374778659
190	0.6211110099	0.2730281808	0.1134164304	0.6159825852	0.07399791165
195	0.6206657094	0.2735909621	0.1136808682	0.6160042697	0.0741980117
200	0.6201880621	0.2740661998	0.1141467956	0.6175961759	0.07474828684
205	0.619769375	0.2742788061	0.1146248124	0.6178661341	0.07484833687
210	0.6192948268	0.2746164749	0.1153257184	0.618413168	0.07524853697
215	0.6188032724	0.2747415374	0.1156429604	0.6207991679	0.07554868704
220	0.6183572746	0.2748290812	0.1158526485	0.6211513281	0.07564873707
225	0.6179673703	0.2752417876	0.115810961	0.6206407373	0.07559871205
