iter	Passed	Remaining
0	53	215283
1	68	137242
2	93	124411
3	113	113254
4	124	99346
5	171	114343
6	185	105961
7	196	98112
8	208	92281
9	219	87619
10	263	95708
11	274	91198
12	285	87496
13	296	84332
14	307	81647
15	371	92382
16	401	94186
17	431	95496
18	462	96900
19	493	98287
20	626	118760
21	668	120822
22	689	119198
23	720	119443
24	750	119288
25	845	129223
26	879	129375
27	913	129536
28	943	129210
29	973	128785
30	1078	138060
31	1094	135718
32	1108	133229
33	1126	131376
34	1140	129241
35	1223	134705
36	1259	134931
37	1294	134966
38	1328	134892
39	1361	134816
40	1464	141374
41	1497	141110
42	1533	141072
43	1567	140952
44	1610	141541
45	1704	146525
46	1729	145485
47	1758	144790
48	1788	144192
49	1819	143725
50	1914	148221
51	1949	148034
52	1979	147450
53	2010	146910
54	2044	146636
55	2147	151223
56	2178	150677
57	2211	150337
58	2247	150142
59	2284	149997
60	2382	153857
61	2415	153430
62	2451	153174
63	2481	152642
64	2506	151710
65	2623	156358
66	2652	155704
67	2695	155862
68	2732	155647
69	2765	155289
70	2860	158287
71	2893	157843
72	2927	157482
73	2963	157237
74	2998	156919
75	3097	159933
76	3123	159144
77	3154	158608
78	3167	157226
79	3187	156187
80	3270	158225
81	3299	157670
82	3330	157195
83	3351	156237
84	3369	155180
85	3462	157578
86	3497	157321
87	3523	156630
88	3562	156555
89	3600	156432
90	3700	158955
91	3744	159052
92	3774	158579
93	3808	158240
94	3840	157844
95	3943	160349
96	3969	159732
97	3982	158556
98	3992	157311
99	4002	156108
100	4049	156320
101	4059	155136
102	4070	154010
103	4080	152857
104	4109	152427
105	4151	152521
106	4162	151449
107	4173	150396
108	4183	149344
109	4192	148270
110	4238	148488
111	4246	147431
112	4256	146427
113	4267	145462
114	4276	144487
115	4318	144592
116	4327	143636
117	4337	142683
118	4345	141728
119	4355	140821
120	4397	140959
121	4405	140022
122	4413	139103
123	4421	138198
124	4429	137300
125	4470	137446
126	4478	136574
127	4485	135693
128	4493	134839
129	4501	133998
130	4544	134207
131	4552	133400
132	4559	132570
133	4579	132130
134	4587	131352
135	4632	131604
136	4640	130849
137	4648	130102
138	4657	129361
139	4664	128615
140	4706	128808
141	4714	128090
142	4722	127369
143	4742	126985
144	4754	126405
145	4816	127148
146	4824	126466
147	4832	125788
148	4841	125120
149	4848	124447
150	4892	124721
151	4901	124078
152	4908	123416
153	4916	122786
154	4924	122169
155	4966	122389
156	4975	121776
157	4982	121163
158	4990	120561
159	4998	119968
160	5045	120298
161	5052	119707
162	5061	119136
163	5068	118560
164	5076	117993
165	5136	118634
166	5144	118066
167	5151	117503
168	5159	116965
169	5168	116433
170	5210	116677
171	5218	116142
172	5226	115613
173	5234	115098
174	5244	114634
175	5285	114845
176	5294	114346
177	5302	113850
178	5309	113341
179	5316	112837
180	5358	113054
181	5366	112574
182	5374	112104
183	5381	111615
184	5389	111147
185	5429	111333
186	5437	110872
187	5444	110405
188	5452	109936
189	5459	109478
190	5501	109711
191	5511	109305
192	5518	108862
193	5527	108436
194	5535	108004
195	5587	108444
196	5595	108011
197	5602	107576
198	5609	107137
199	5615	106699
200	5654	106877
201	5661	106456
202	5668	106032
203	5676	105618
204	5682	105194
205	5728	105512
206	5735	105090
207	5742	104682
208	5748	104270
209	5755	103866
210	5794	104056
211	5801	103662
212	5808	103270
213	5814	102869
214	5821	102479
215	5862	102696
216	5868	102313
217	5875	101938
218	5882	101564
219	5889	101197
220	5933	101457
221	5940	101088
222	5946	100722
223	5952	100350
224	5959	99994
225	6002	100235
226	6009	99883
227	6015	99526
228	6022	99179
229	6029	98836
230	6069	99023
231	6075	98677
232	6083	98348
233	6089	98011
234	6112	97936
235	6157	98204
236	6166	97916
237	6173	97584
238	6180	97254
239	6187	96938
240	6227	97138
241	6234	96814
242	6240	96489
243	6247	96170
244	6254	95860
245	6293	96042
246	6300	95728
247	6307	95421
248	6314	95116
249	6320	94810
250	6360	94998
251	6367	94701
252	6374	94402
253	6381	94112
254	6388	93820
255	6428	94014
256	6435	93725
257	6441	93430
258	6448	93137
259	6454	92848
260	6497	93085
261	6504	92801
262	6511	92516
263	6517	92239
264	6524	91960
265	6579	92354
266	6585	92077
267	6592	91805
268	6599	91537
269	6606	91261
270	6644	91431
271	6658	91258
272	6666	91016
273	6673	90756
274	6681	90497
275	6719	90661
276	6725	90398
277	6732	90134
278	6738	89876
279	6745	89620
280	6782	89771
281	6789	89515
282	6796	89260
283	6802	89010
284	6809	88762
285	6852	88989
286	6859	88742
287	6865	88494
288	6872	88251
289	6878	88003
290	6917	88171
291	6927	87964
292	6933	87720
293	6939	87478
294	6946	87242
295	6990	87477
296	6999	87268
297	7005	87027
298	7012	86798
299	7018	86566
300	7060	86765
301	7067	86538
302	7073	86309
303	7080	86083
304	7089	85882
305	7149	86311
306	7156	86087
307	7163	85869
308	7170	85652
309	7177	85430
310	7214	85580
311	7221	85356
312	7228	85148
313	7234	84930
314	7241	84715
315	7281	84886
316	7287	84671
317	7294	84460
318	7301	84255
319	7307	84038
320	7345	84188
321	7352	83984
322	7359	83776
323	7365	83568
324	7372	83360
325	7411	83525
326	7417	83318
327	7424	83113
328	7431	82917
329	7437	82718
330	7480	82915
331	7487	82721
332	7494	82527
333	7500	82329
334	7508	82141
335	7574	82599
336	7581	82406
337	7588	82214
338	7595	82024
339	7601	81830
340	7641	81995
341	7648	81803
342	7654	81615
343	7661	81423
344	7667	81228
345	7705	81377
346	7712	81189
347	7718	81000
348	7725	80815
349	7732	80636
350	7772	80798
351	7778	80615
352	7785	80435
353	7792	80262
354	7799	80081
355	7837	80228
356	7844	80047
357	7850	79867
358	7857	79690
359	7863	79508
360	7901	79652
361	7908	79480
362	7914	79302
363	7921	79129
364	7928	78959
365	7970	79138
366	7977	78967
367	7984	78798
368	7991	78634
369	7997	78462
370	8036	78614
371	8043	78446
372	8050	78283
373	8057	78116
374	8063	77947
375	8110	78173
376	8133	78168
377	8141	78007
378	8147	77840
379	8154	77679
380	8192	77822
381	8200	77669
