iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.2057037911	0.1650996207	0.04779375799	0.5073412928	0.04088135338
5	0.200006974	0.2354296225	0.08066686121	0.559879848	0.05528855698
10	0.1966933355	0.2455168442	0.08801372909	0.5682015017	0.05783983261
15	0.1945837227	0.2529669631	0.09394475015	0.5810079207	0.06214198369
20	0.1931840353	0.259417272	0.103104191	0.5933759375	0.06664423482
25	0.1921318825	0.2634001412	0.1095704797	0.5994009079	0.06869526033
30	0.1912969824	0.2658655231	0.1121809516	0.6062259826	0.07049616078
35	0.1906297349	0.2680304166	0.1145468568	0.6104253641	0.07264723632
40	0.190062522	0.269018673	0.1180697293	0.6099008184	0.07314748644
45	0.1895888017	0.2711228127	0.1219222111	0.6163721031	0.07509846193
50	0.1892011168	0.2725377921	0.1262388139	0.6210758755	0.07654918729
55	0.1888262943	0.2734054559	0.1271018843	0.6220124225	0.07694938739
60	0.1885026042	0.2749143127	0.1273403368	0.6247728413	0.07774978759
65	0.1881787726	0.2762594731	0.1305937691	0.627057546	0.0786002128
70	0.1879144841	0.2773708199	0.1323935579	0.6280828764	0.07915048794
75	0.1876757041	0.2784235459	0.1329031182	0.6279744375	0.07985083812
80	0.1874275768	0.2788544095	0.1336937913	0.6324391699	0.08045113827
85	0.1872119716	0.2795852614	0.1347751654	0.6328730268	0.08085133837
90	0.1870183007	0.2803670081	0.136518815	0.634856113	0.08145163852
95	0.1868361482	0.2806543479	0.1368723251	0.635176385	0.08150166353
100	0.1866679981	0.2815172746	0.1388139903	0.6352712899	0.08180181361
105	0.1865098903	0.2816097229	0.1388563726	0.6354223755	0.08175178859
110	0.1863423327	0.2822932914	0.1394609805	0.636409801	0.08205193867
115	0.1861810858	0.2827098902	0.1402722194	0.6370086608	0.08250216378
120	0.186033232	0.2830892902	0.1412186649	0.6370404408	0.08270226383
125	0.1858779479	0.2836813379	0.1423738258	0.6381698204	0.08325253897
130	0.1857497247	0.2838506051	0.1428578178	0.6381612573	0.08330256398
135	0.18562035	0.2843999602	0.1447486243	0.6397558705	0.08375278909
140	0.185498372	0.2846996345	0.1451529932	0.6404401565	0.08405293917
145	0.1853666587	0.2847206902	0.1455491635	0.6403050566	0.08390286413
150	0.1852410624	0.2850418554	0.1460929076	0.6416717212	0.08405293917
155	0.1851032968	0.2854527104	0.1466612473	0.6427199925	0.08470326433
160	0.1849595341	0.2857257409	0.1469752932	0.6437032222	0.08500341441
165	0.1848085402	0.2871028461	0.1478107109	0.6445919447	0.08590386463
170	0.1846833275	0.2877301499	0.1482958146	0.6455566206	0.08625403972
175	0.1845511018	0.2880475257	0.1483989217	0.6472293085	0.08670426483
180	0.184389567	0.2886017605	0.1493723251	0.648337718	0.08725453997
185	0.1842462348	0.2892045695	0.1499826302	0.6494124166	0.08755469004
190	0.1841322526	0.2893184434	0.1507337002	0.6511521077	0.08805494017
195	0.1840214024	0.2903636821	0.1518505086	0.6502199377	0.08820501521
200	0.1839109382	0.290601194	0.1527441499	0.6524999122	0.08880531536
205	0.1838080748	0.2908501247	0.1533541771	0.6526124685	0.08890536538
210	0.1837078388	0.29120591	0.1539722639	0.6531197368	0.08900541541
215	0.183581659	0.2917710287	0.1553807459	0.6537025598	0.08955569054
220	0.1834637166	0.2922817983	0.1558773831	0.6550510515	0.09015599069
225	0.1833572415	0.2929492378	0.1569152632	0.6569775217	0.09085634087
