iter	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
0	0.1682007671	0.04629967762	0.5127149536	0.0413816035
5	0.2410872103	0.08078316936	0.5618208828	0.05568875708
10	0.2489661497	0.09072911456	0.5718824646	0.05989085813
15	0.2576454894	0.1027611028	0.5910768881	0.06629405973
20	0.2606594964	0.1072579345	0.599767191	0.06854518529
25	0.2637485409	0.1115630037	0.608294642	0.07109646093
30	0.2660371853	0.1165392418	0.613521223	0.0725972113
35	0.2685884609	0.1191089989	0.6179175895	0.07404793667
40	0.2702517926	0.1230165083	0.6199957542	0.0749984119
45	0.2722527931	0.125277083	0.6223160646	0.07649916228
50	0.2727905619	0.1278164082	0.6241729896	0.0773996125
55	0.2738160747	0.1287121338	0.6277054918	0.07814998769
60	0.2744663999	0.1321758101	0.6292312301	0.07920051295
65	0.2761422378	0.1341681952	0.6338123055	0.08075128834
70	0.2766675004	0.1364358568	0.6355545998	0.08140161351
75	0.277930632	0.1400690623	0.6372967588	0.08225203872
80	0.2779181257	0.141158079	0.6423797351	0.08275228884
85	0.2791937635	0.1422861431	0.6435433795	0.08330256398
90	0.2797565449	0.1427763882	0.6444516078	0.08355268904
95	0.2802693013	0.1443707965	0.6448278963	0.08385283912
100	0.2804068701	0.1447736368	0.6460162374	0.08440311426
105	0.2811572453	0.1455605581	0.646279383	0.08440311426
110	0.2812197766	0.145337252	0.6465568903	0.08445313927
115	0.2816950142	0.1470224001	0.6485881168	0.08495338939
120	0.2824328831	0.1472355622	0.6505549779	0.08560371456
125	0.2827580457	0.1485590017	0.6507588316	0.08570376458
130	0.283120727	0.1497334779	0.6507400993	0.08595388964
135	0.2834083709	0.1503913068	0.6527040683	0.08625403972
140	0.2840837085	0.1511987938	0.6527030938	0.08630406473
145	0.2846715024	0.1529186816	0.6539305374	0.08705443992
150	0.2846589962	0.1527975099	0.653637365	0.08715448994
155	0.2849216275	0.1534982769	0.6543399169	0.08730456498
160	0.2850717025	0.1549096771	0.6544502164	0.08740461501
165	0.2857970652	0.1560030015	0.6561654328	0.08790486513
170	0.2859596465	0.1564440554	0.6555464726	0.08770476508
175	0.2861597465	0.1583819688	0.6558319589	0.08795489014
