iter	Passed	Remaining
0	58	234458
1	84	169183
2	104	139655
3	124	124841
4	144	115733
5	193	129036
6	213	121988
7	233	116658
8	253	112461
9	273	109183
10	317	115031
11	329	109385
12	341	104671
13	359	102297
14	370	98497
15	413	102936
16	425	99607
17	437	96837
18	449	94212
19	460	91725
20	510	96639
21	518	93832
22	528	91346
23	537	89089
24	547	86977
25	586	89712
26	596	87744
27	605	85919
28	614	84194
29	624	82592
30	663	84922
31	672	83360
32	681	81915
33	690	80512
34	699	79209
35	742	81724
36	752	80620
37	761	79414
38	770	78250
39	779	77192
40	824	79637
41	834	78600
42	843	77644
43	852	76680
44	862	75765
45	902	77586
46	911	76677
47	920	75778
48	929	74958
49	938	74152
50	979	75808
51	988	75045
52	996	74241
53	1005	73492
54	1014	72787
55	1056	74383
56	1065	73698
57	1074	73042
58	1083	72402
59	1092	71771
60	1131	73094
61	1140	72453
62	1149	71851
63	1159	71297
64	1168	70718
65	1207	71952
66	1216	71385
67	1225	70840
68	1233	70299
69	1243	69818
70	1283	70999
71	1292	70497
72	1301	70003
73	1310	69518
74	1319	69055
75	1359	70203
76	1368	69733
77	1377	69270
78	1386	68817
79	1397	68471
80	1439	69623
81	1448	69192
82	1457	68775
83	1466	68380
84	1475	67973
85	1516	69023
86	1525	68612
87	1534	68207
88	1543	67812
89	1552	67431
90	1593	68443
91	1602	68067
92	1611	67706
93	1620	67336
94	1629	66985
95	1674	68096
96	1683	67736
97	1692	67391
98	1701	67054
99	1710	66720
100	1771	68370
101	1780	68058
102	1790	67739
103	1800	67432
104	1820	67531
105	1864	68479
106	1873	68155
107	1882	67829
108	1891	67506
109	1899	67190
110	1941	68037
111	1950	67711
112	1958	67383
113	1967	67065
114	1976	66783
115	2016	67515
116	2025	67215
117	2035	66954
118	2047	66778
119	2056	66500
120	2095	67168
121	2104	66885
122	2113	66613
123	2122	66336
124	2130	66060
125	2169	66696
126	2178	66432
127	2187	66176
128	2196	65909
129	2205	65648
130	2244	66293
131	2253	66028
132	2262	65783
133	2271	65548
134	2280	65301
135	2321	65952
136	2330	65726
137	2340	65492
138	2349	65251
139	2357	65001
140	2396	65592
141	2405	65351
142	2416	65185
143	2425	64955
144	2434	64730
145	2473	65300
146	2483	65084
147	2492	64872
148	2501	64659
149	2510	64434
150	2549	64981
151	2558	64763
152	2567	64544
153	2575	64330
154	2585	64132
155	2624	64665
156	2633	64454
157	2642	64263
158	2651	64052
159	2660	63858
160	2699	64358
161	2707	64154
162	2716	63956
163	2726	63770
164	2735	63572
165	2794	64534
166	2816	64641
167	2825	64441
168	2834	64248
169	2843	64066
170	2886	64643
171	2895	64445
172	2904	64256
173	2915	64107
174	2924	63917
175	2976	64674
176	2998	64756
177	3007	64575
178	3016	64389
179	3025	64211
180	3064	64656
181	3073	64477
182	3082	64298
183	3091	64119
184	3100	63939
185	3139	64377
186	3149	64210
187	3157	64030
188	3167	63864
189	3176	63694
190	3216	64141
191	3225	63967
192	3234	63800
193	3243	63627
194	3252	63459
195	3294	63949
196	3304	63783
197	3313	63620
198	3324	63490
199	3332	63323
200	3373	63764
201	3382	63605
202	3392	63446
203	3403	63330
204	3412	63167
205	3452	63583
206	3461	63431
207	3470	63270
208	3479	63111
209	3488	62964
210	3528	63369
211	3538	63220
212	3547	63068
213	3555	62906
214	3564	62751
215	3604	63147
216	3613	62999
217	3623	62855
218	3632	62707
219	3640	62556
220	3680	62936
221	3689	62789
222	3698	62640
223	3706	62488
224	3715	62343
225	3755	62711
226	3765	62591
227	3794	62770
228	3820	62913
229	3829	62767
230	3870	63146
231	3880	63016
232	3889	62878
233	3898	62739
234	3907	62601
235	3947	62962
236	3957	62831
237	3965	62687
238	3974	62544
239	3983	62408
240	4024	62771
241	4033	62643
242	4042	62507
243	4051	62370
244	4060	62234
245	4101	62590
246	4110	62459
247	4119	62330
248	4128	62198
249	4139	62086
250	4180	62443
251	4191	62347
252	4201	62218
253	4210	62092
254	4219	61963
255	4261	62321
256	4270	62200
257	4279	62074
258	4289	61951
259	4298	61831
260	4341	62191
261	4350	62065
262	4359	61938
263	4367	61810
264	4376	61686
265	4420	62047
266	4429	61932
267	4438	61803
268	4446	61677
269	4456	61560
270	4497	61885
271	4506	61768
272	4515	61647
273	4524	61523
274	4532	61401
275	4573	61705
276	4581	61583
277	4590	61461
278	4599	61347
279	4608	61229
280	4649	61529
281	4658	61413
282	4667	61300
283	4676	61187
284	4685	61071
285	4726	61382
286	4735	61269
287	4744	61155
288	4753	61042
289	4762	60924
290	4825	61508
291	4835	61400
292	4844	61292
293	4853	61180
294	4862	61072
295	4904	61378
296	4914	61271
297	4922	61155
298	4931	61047
299	4942	60955
300	4984	61248
301	5006	61309
302	5015	61201
303	5024	61089
304	5033	60981
305	5074	61261
306	5083	61153
307	5092	61046
308	5101	60938
309	5110	60827
310	5150	61091
311	5161	61007
312	5170	60900
313	5179	60795
314	5187	60688
315	5228	60957
316	5237	60854
317	5246	60748
318	5255	60644
319	5264	60537
320	5307	60824
321	5316	60724
322	5325	60621
323	5334	60517
324	5342	60414
325	5387	60715
326	5396	60617
327	5405	60517
328	5415	60421
329	5423	60320
330	5465	60582
331	5474	60484
332	5483	60387
333	5492	60285
334	5501	60185
335	5541	60432
336	5550	60336
337	5560	60239
338	5569	60142
339	5577	60040
340	5618	60286
341	5627	60194
342	5637	60101
343	5646	60006
344	5654	59909
345	5698	60180
346	5707	60085
347	5716	59987
348	5725	59894
349	5733	59796
350	5776	60050
351	5821	60336
352	5842	60360
353	5853	60283
354	5868	60257
355	5946	60865
356	5968	60909
357	6017	61213
358	6044	61305
359	6063	61310
360	6179	62288
361	6197	62283
362	6228	62402
363	6258	62516
364	6290	62649
365	6381	63364
366	6408	63435
367	6438	63543
368	6465	63617
369	6494	63712
370	6571	64283
371	6605	64418
372	6633	64505
373	6663	64603
374	6691	64688
375	6778	65336
376	6805	65405
377	6870	65832
378	6899	65918
379	6928	66005
380	7015	66635
381	7041	66690
382	7071	66778
383	7096	66828
384	7116	66821
385	7211	67517
386	7228	67483
387	7244	67439
388	7260	67398
389	7274	67340
390	7335	67709
391	7363	67769
392	7396	67889
393	7433	68032
394	7460	68091
395	7542	68645
396	7574	68739
397	7610	68879
398	7642	68975
399	7678	69105
400	7768	69720
401	7799	69810
402	7848	70048
403	7896	70284
404	7931	70401
405	8047	71240
406	8081	71346
407	8124	71530
408	8161	71653
409	8195	71764
410	8283	72336
411	8316	72427
412	8350	72523
413	8386	72639
414	8424	72779
415	8516	73373
416	8548	73453
417	8582	73549
418	8620	73677
419	8661	73832
420	8790	74728
421	8829	74864
422	8864	74960
423	8924	75272
424	8957	75350
425	9047	75905
426	9084	76012
427	9123	76139
428	9161	76259
429	9200	76386
430	9308	77079
431	9349	77218
432	9384	77304
433	9399	77230
434	9414	77155
435	9461	77340
436	9476	77267
437	9491	77189
438	9507	77120
439	9523	77051
440	9568	77221
441	9579	77111
442	9590	77003
443	9601	76900
444	9612	76794
445	9654	76933
446	9667	76839
447	9677	76730
448	9689	76628
449	9699	76521
450	9743	76673
451	9754	76566
452	9764	76452
453	9773	76338
454	9783	76226
455	9824	76352
456	9833	76236
457	9842	76120
458	9852	76007
459	9861	75894
460	9954	76416
461	9963	76302
462	9972	76186
463	9982	76072
464	9991	75955
465	10034	76098
466	10044	75987
467	10053	75874
468	10063	75762
469	10074	75669
470	10114	75785
471	10123	75670
472	10132	75557
473	10142	75446
474	10154	75357
475	10195	75477
476	10206	75379
477	10215	75266
478	10223	75151
479	10232	75040
480	10271	75148
481	10281	75039
482	10290	74929
483	10300	74827
484	10309	74716
485	10348	74823
486	10357	74713
487	10366	74605
488	10375	74493
489	10384	74385
490	10423	74495
491	10432	74387
492	10441	74278
493	10450	74169
494	10459	74062
495	10498	74169
496	10507	74061
497	10516	73954
498	10525	73847
499	10534	73740
500	10573	73847
501	10582	73743
502	10592	73640
503	10600	73533
504	10610	73430
505	10650	73539
506	10659	73436
507	10668	73336
508	10677	73232
509	10686	73129
510	10733	73284
511	10742	73183
512	10751	73080
513	10760	72979
514	10769	72875
515	10809	72983
516	10818	72882
517	10827	72779
518	10835	72678
519	10846	72591
520	10904	72815
521	10913	72715
522	10922	72617
523	10949	72637
524	10958	72535
525	10996	72628
526	11005	72529
527	11014	72429
528	11023	72328
529	11032	72230
530	11075	72353
531	11084	72257
532	11093	72159
533	11102	72061
534	11111	71965
535	11152	72073
536	11161	71975
537	11169	71876
538	11179	71782
539	11190	71702
540	11229	71799
541	11238	71704
542	11247	71609
543	11256	71512
544	11265	71415
545	11307	71528
546	11316	71437
547	11325	71339
548	11333	71245
549	11344	71163
550	11384	71260
551	11392	71164
552	11401	71071
553	11410	70975
554	11419	70881
555	11457	70970
556	11467	70882
557	11476	70790
558	11484	70696
559	11493	70603
560	11532	70693
561	11540	70601
562	11549	70508
563	11558	70417
564	11567	70326
565	11607	70424
566	11616	70335
567	11625	70245
568	11634	70157
569	11643	70067
570	11683	70163
571	11693	70076
572	11701	69985
573	11710	69895
574	11719	69807
575	11760	69906
576	11769	69822
577	11780	69745
578	11789	69658
579	11798	69571
580	11839	69669
581	11847	69581
582	11856	69492
583	11866	69409
584	11898	69456
585	11954	69647
586	11964	69567
587	11973	69481
588	11982	69394
589	11991	69305
590	12031	69401
591	12042	69328
592	12051	69242
593	12060	69155
594	12069	69071
595	12110	69170
596	12119	69085
597	12129	69001
598	12137	68916
599	12146	68831
600	12189	68937
601	12198	68853
602	12207	68768
603	12215	68684
604	12224	68600
605	12263	68685
606	12274	68613
607	12283	68530
608	12292	68447
609	12301	68364
610	12341	68453
611	12350	68372
612	12359	68289
613	12368	68209
614	12377	68129
615	12418	68218
616	12427	68137
617	12435	68055
618	12444	67971
619	12456	67909
620	12500	68017
621	12509	67938
622	12518	67858
623	12528	67780
624	12537	67701
625	12575	67778
626	12584	67697
627	12592	67616
628	12602	67537
629	12610	67458
630	12652	67550
631	12662	67481
632	12671	67401
633	12680	67322
634	12689	67244
635	12733	67349
636	12742	67270
637	12750	67192
638	12759	67113
639	12768	67035
640	12809	67124
641	12818	67048
642	12827	66969
643	12837	66898
644	12846	66820
645	12910	67028
646	12919	66953
647	12928	66877
648	12937	66802
649	12965	66820
650	13006	66910
651	13016	66841
652	13026	66766
653	13051	66773
654	13068	66737
655	13109	66825
656	13118	66748
657	13126	66672
658	13135	66594
659	13144	66519
660	13188	66618
661	13197	66543
662	13205	66467
663	13219	66414
664	13228	66339
665	13270	66432
666	13279	66357
667	13288	66281
668	13297	66207
669	13305	66131
670	13353	66250
671	13363	66179
672	13371	66104
673	13380	66030
674	13389	65958
675	13429	66033
676	13438	65962
677	13447	65888
678	13456	65816
679	13465	65742
680	13504	65819
681	13514	65747
682	13523	65675
683	13532	65603
684	13541	65532
685	13580	65606
686	13589	65534
687	13598	65464
688	13607	65392
689	13616	65320
690	13660	65418
691	13669	65345
692	13678	65274
693	13687	65204
694	13696	65133
695	13736	65209
696	13745	65139
697	13754	65068
698	13765	65007
699	13776	64945
700	13816	65022
701	13825	64953
702	13834	64883
703	13845	64823
704	13854	64752
705	13917	64937
706	13927	64869
707	13936	64800
708	13950	64754
709	13974	64755
710	14018	64845
711	14027	64776
712	14035	64705
713	14044	64635
714	14053	64566
715	14095	64650
716	14104	64581
717	14113	64513
718	14122	64447
719	14131	64378
720	14175	64467
721	14184	64401
722	14194	64335
723	14212	64309
724	14221	64241
725	14267	64343
726	14276	64275
727	14285	64208
728	14294	64140
729	14303	64071
730	14342	64140
731	14351	64073
732	14360	64005
733	14369	63937
734	14378	63870
735	14417	63937
736	14426	63870
737	14435	63804
738	14443	63736
739	14452	63670
740	14494	63746
741	14503	63680
742	14512	63615
743	14521	63550
744	14530	63485
745	14575	63578
746	14584	63513
747	14594	63448
748	14603	63384
749	14612	63319
750	14652	63391
751	14661	63327
752	14670	63261
753	14679	63197
754	14691	63142
755	14734	63226
756	14743	63161
757	14752	63097
758	14761	63034
759	14771	62971
760	14811	63043
761	14821	62980
762	14830	62917
763	14839	62853
764	14848	62788
765	14891	62872
766	14916	62872
767	14925	62809
768	14933	62745
769	14942	62682
770	15005	62845
771	15015	62783
772	15023	62719
773	15032	62655
774	15041	62593
775	15083	62665
776	15092	62604
777	15101	62542
778	15110	62477
779	15121	62425
780	15161	62490
781	15170	62429
782	15180	62368
783	15188	62305
784	15198	62244
785	15240	62319
786	15249	62258
787	15259	62198
788	15268	62136
789	15277	62075
790	15316	62138
791	15325	62075
792	15334	62013
793	15343	61952
794	15352	61891
795	15392	61955
796	15401	61895
797	15410	61835
798	15419	61774
799	15428	61713
800	15467	61771
801	15475	61710
802	15485	61650
803	15494	61591
804	15503	61533
805	15545	61603
806	15554	61544
807	15563	61484
808	15575	61434
809	15584	61375
810	15629	61458
811	15638	61397
812	15646	61336
813	15655	61276
814	15664	61217
815	15704	61279
816	15714	61221
817	15723	61164
818	15732	61106
819	15742	61048
820	15782	61112
821	15791	61053
822	15800	60994
823	15809	60935
824	15818	60876
825	15857	60936
826	15867	60879
827	15887	60862
828	15914	60873
829	15923	60815
830	15963	60875
831	15989	60884
832	15998	60826
833	16007	60768
834	16016	60710
835	16057	60773
836	16066	60715
837	16075	60657
838	16084	60601
839	16093	60544
840	16137	60614
841	16149	60569
842	16158	60512
843	16167	60453
844	16175	60396
845	16217	60459
846	16226	60403
847	16235	60346
848	16244	60289
849	16253	60232
850	16293	60292
851	16303	60238
852	16312	60181
853	16321	60124
854	16329	60067
855	16368	60121
856	16378	60066
857	16386	60009
858	16395	59952
859	16404	59895
860	16444	59952
861	16454	59902
862	16464	59847
863	16473	59791
864	16481	59734
865	16521	59789
866	16530	59734
867	16539	59678
868	16547	59621
869	16557	59567
870	16598	59629
871	16607	59575
872	16617	59521
873	16626	59467
874	16635	59412
875	16677	59474
876	16686	59419
877	16695	59365
878	16704	59312
879	16713	59258
880	16755	59319
881	16765	59267
882	16774	59212
883	16783	59158
884	16792	59105
885	16831	59158
886	16841	59105
887	16850	59051
888	16859	58997
889	16868	58944
890	16946	59132
